STAT;Lat;Long;h[m];estado_abril_2021
VLZL;-23,11723049;-69,9646883;1555,328227;#N/A
TRTA;-17,48239132;-70,04137078;3201,790662;#N/A
CN19;12,61184829;-70,04850141;-0,364861774;active
CGTC;-20,1771257;-70,0689652;1238,9086;#N/A
CRSC;-20,917674;-70,0797804;1517,8642;#N/A
CTLR;-21,96416152;-70,09682766;2281,772238;#N/A
CTLR;-21,9641615;-70,0968277;2281,7717;#N/A
PCCL;-18,45767338;-70,10674364;1143,741245;#N/A
IQQE;-20,27354027;-70,13171275;38,99017665;active
ATJN;-19,3008149;-70,1367507;1597,998;#N/A
CHML;-37,35913084;-70,15011667;1250,636977;#N/A
PU02;-15,51437611;-70,17938084;3880,612775;active
MELA;-22,7458141;-70,2475013;1033,1799;#N/A
TC01;-18,00447018;-70,2567775;604,5674713;active
IACR;-18,47974755;-70,33285184;46,06375592;active
COPO;-27,3845251;-70,3382346;479,0747;removed
LVEG;19,2227157;-70,5310865;78,5623;#N/A
CN07;19,7576309;-70,5658514;-32,274;#N/A
LYAR;-18,13425539;-70,56873945;351,6324283;#N/A
JRGN;-23,2889168;-70,5749088;327,8054;#N/A
LNDS;-32,83955254;-70,5755541;883,6493429;#N/A
TQPL;-17,3044179;-70,6426268;2737,7848;#N/A
CN06;18,78982497;-70,65611036;2311,712494;#N/A
SANT;-33,15028846;-70,66855588;723,0745368;active
USCL;-33,4498535;-70,68134488;570,1866356;active
CMPN;-29,02820345;-70,68582312;2416,103679;#N/A
RMLS;-39,722603;-70,6867242;852,3331;#N/A
LMHS;-37,0240923;-70,7517714;1268,8391;#N/A
ARCA;7,0842771;-70,75853378;133,2950949;active
BAVE;-34,16758443;-70,76558778;513,885555;#N/A
PARC;-53,13695399;-70,87988157;22,27050321;active
MQ01;-17,1906233;-70,92224944;1509,661203;#N/A
BARA;18,20869901;-71,09822767;6,734912132;#N/A
CUVI;-33,35334954;-71,13415311;260,8869612;#N/A
GTK0;21,4327888;-71,1445922;-31,079;removed
GTK0;21,4327888;-71,1445924;-31,0862;removed
MELP;-33,67778822;-71,15050588;214,4133362;#N/A
BCH1;-41,14677165;-71,29891293;886,3837791;active
ESQU;-42,91711292;-71,3234008;589,4215651;active
